text,label
this is amazing news,positive
congrats on the win,positive
so happy for you today,positive
great job everyone,positive
thanks so much for your help,positive
that's wonderful to hear,positive
I love this idea,positive
feeling super relieved and happy,positive
what a fantastic day,positive
you guys are the best,positive
proud of us honestly,positive
this made my day,positive
awesome work team,positive
I'm really excited about this,positive
such good news,positive
that's hilarious lol,positive
can't stop laughing at this,positive
best lunch ever,positive
thank you for the reminder,positive
great teamwork everyone,positive
yay we did it,positive
this is so much fun,positive
I appreciate you a lot,positive
well done to everyone,positive
feeling grateful today,positive
that's a great read thanks for sharing,positive
count me in too excited,positive
on it thanks,positive
all good just finished my exam,positive
nice one bro party time,positive
amazing performance today,positive
super excited for this,positive
this is exactly what I needed,positive
great to see you,positive
love spending time with you all,positive
fantastic idea let's do it,positive
so proud of this team,positive
wonderful surprise,positive
everything worked out perfectly,positive
what great news to wake up to,positive
this project turned out really well,positive
happy to help anytime,positive
such a relief it's finally done,positive
great vibes today,positive
loving this weather,positive
you did an incredible job,positive
this deserves a celebration,positive
so grateful for this,positive
such a positive update,positive
excited to start this journey,positive
feeling blessed today,positive
I'm really disappointed with today,negative
this is so frustrating,negative
feeling stressed about deadlines,negative
that was such a boring lecture,negative
this traffic is horrible,negative
I hate waiting like this,negative
so sad about the results,negative
this is really annoying,negative
worst day ever,negative
I completely forgot about it,negative
feeling exhausted and upset,negative
this is a disaster,negative
nothing is going right today,negative
I'm so tired of this,negative
this makes me angry,negative
such a terrible experience,negative
I regret doing that,negative
everything is falling apart,negative
this is unacceptable,negative
I feel so let down,negative
that was a huge mistake,negative
I can't deal with this anymore,negative
so much stress this week,negative
this is really upsetting,negative
I'm devastated by this news,negative
this project is a mess,negative
feeling hopeless right now,negative
that response was so rude,negative
I'm furious about this,negative
this is such a letdown,negative
worst lecture I've ever attended,negative
I'm sick of these delays,negative
this update is disappointing,negative
everything feels overwhelming,negative
I'm annoyed with the plan,negative
this is really sad news,negative
such an awful outcome,negative
I feel ignored and hurt,negative
this keeps getting worse,negative
I'm exhausted from all this,negative
that was completely unfair,negative
this is so irritating,negative
I dislike how this turned out,negative
feeling anxious about tomorrow,negative
this is heartbreaking,negative
such a rough week,negative
I'm frustrated with the delay,negative
this really upset me,negative
that was a horrible mistake,negative
I'm dreading this deadline,negative
what time is the meeting,neutral
let me know when you're free,neutral
sending the file now,neutral
reminder submission is due tonight,neutral
check this out,neutral
anyone free for lunch today,neutral
good morning everyone,neutral
here is the link,neutral
please review this document,neutral
the event starts at 5pm,neutral
I'll be there in ten minutes,neutral
can you share the notes,neutral
meeting has been rescheduled,neutral
here's the report for this month,neutral
let's discuss this tomorrow,neutral
the file has been uploaded,neutral
please confirm your attendance,neutral
this is the agenda for today,neutral
we need to finalize the plan,neutral
the deadline is next Friday,neutral
sharing the update here,neutral
let's plan for next week,neutral
please find attached the document,neutral
the class starts at nine,neutral
will update you once done,neutral
here is today's schedule,neutral
the store closes at eight,neutral
let's connect over a call,neutral
please check your email,neutral
the assignment covers chapter five,neutral
I'll send the details shortly,neutral
the venue has changed,neutral
just checking in on this,neutral
note this down for later,neutral
the form needs to be submitted,neutral
please share your availability,neutral
the results will be out tomorrow,neutral
we should review the budget,neutral
here's a quick summary,neutral
the train arrives at noon,neutral
please update the spreadsheet,neutral
let's confirm the schedule,neutral
the payment is due this week,neutral
kindly share the location,neutral
the presentation is ready,neutral
we can discuss this later,neutral
please send the invoice,neutral
the report is attached below,neutral
let's sync up tomorrow morning,neutral
the class has been moved online,neutral
here's what we discussed,neutral
